tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,authorisation,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,source,key,overnight_quantity,multiplier,value,m2m,unrealised,realised,buy_quantity,buy_price,buy_value,buy_m2m,sell_quantity,sell_price,sell_value,sell_m2m,day_buy_quantity,day_buy_price,day_buy_value,day_sell_quantity,day_sell_price,day_sell_value,ltp,open,high,low,close,qty,oPL%,dPL%,avg,Invested,PnL,PL%,Yvalue,dPnL,outqty,in,out,smb_power,fPL%,tPL%
BAJAJFINSV,BSE,136442372,INE918I01026,CNC,0.0,3,0.0,0.0,3.0,3.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 3}},3.0,0.0,0.0,,False,1644.95,1602.8,1600.85,-126,1.9500000000000455,0.1218102882843518,holdings,BSE:BAJAJFINSV,,,4808.4,,,,,,,,,,,,,,,,,,1602.8,1608.85,1614.0,1595.9,1600.85,3,-0.38,0.12,1644.95,4935,-126,-2.55,4802.55,5.85,,,67.983333,0.38,1.46,5.06
BANKINDIA,NSE,1214721,INE084A01016,CNC,0.0,40,0.0,0.0,40.0,40.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 40}},40.0,0.0,0.0,,False,148.81,120.89,123.9,-1116,-3.010000000000005,-2.4293785310734504,holdings,NSE:BANKINDIA,,,4835.6,,,,,,,,,,,,,,,,,,120.89,123.11,123.76,119.88,123.9,40,-1.8,-2.43,148.81,5952,-1116,-18.75,4956.0,-120.4,,,324.6,0.26,1.3,4.52
BHARATWIRE,BSE,138188548,INE316L01019,CNC,0.0,49,0.0,0.0,49.0,49.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 49}},49.0,0.0,0.0,,False,335.88,260.0,265.6,-3717,-5.600000000000023,-2.1084337349397675,holdings,BSE:BHARATWIRE,,,12740.0,,,,,,,,,,,,,,,,,,260.0,266.1,271.05,256.2,265.6,49,-2.29,-2.11,335.87653,16458,-3718,-22.59,13014.4,-274.4,1.0,4059.25,0.0,0.26,1.3,4.52
CANBK,NSE,2763265,INE476A01022,CNC,0.0,40,0.0,0.0,40.0,40.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 40}},40.0,0.0,0.0,,False,125.77,118.11,118.69,-306,-0.5799999999999983,-0.4886679585474752,holdings,NSE:CANBK,,,4724.4,,,,,,,,,,,,,,,,,,118.11,118.18,119.4,116.84,118.69,40,-0.06,-0.49,125.77,5031,-306,-6.08,4747.6,-23.2,6.0,2928.975,0.0,0.5,1.65,5.83
CASTROLIND,NSE,320001,INE172A01027,CNC,0.0,47,0.0,0.0,47.0,47.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 47}},47.0,0.0,0.0,,False,212.4,202.4,205.47,-470,-3.069999999999993,-1.4941353968949205,holdings,NSE:CASTROLIND,,,9512.8,,,,,,,,,,,,,,,,,,202.4,204.7,209.75,201.0,205.47,47,-1.12,-1.49,212.4,9983,-470,-4.71,9657.09,-144.29,,,1033.2125,0.16,1.17,4.14
CEATLTD,NSE,3905025,INE482A01020,CNC,0.0,2,0.0,0.0,2.0,2.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 2}},2.0,0.0,0.0,,False,2626.9,2599.0,2519.15,-55,79.84999999999991,3.169719945219614,holdings,NSE:CEATLTD,,,5198.0,,,,,,,,,,,,,,,,,,2599.0,2523.0,2688.4,2499.45,2519.15,2,3.01,3.17,2626.9,5254,-56,-1.07,5038.3,159.7,,,975.35,0.53,1.7,6.05
CREDITACC,BSE,138693124,INE741K01010,CNC,0.0,3,0.0,0.0,3.0,3.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 3}},3.0,0.0,0.0,,False,1510.15,1335.55,1359.25,-523,-23.700000000000045,-1.7436086076880666,holdings,BSE:CREDITACC,,,4006.65,,,,,,,,,,,,,,,,,,1335.55,1382.0,1382.0,1325.2,1359.25,3,-3.36,-1.74,1510.15,4530,-523,-11.55,4077.75,-71.1,,,994.8,0.18,1.2,4.22
CSBBANK,BSE,138973956,INE679A01013,CNC,0.0,12,0.0,0.0,12.0,12.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 12}},12.0,0.0,0.0,,False,410.95,364.1,356.85,-562,7.25,2.0316659660921954,holdings,BSE:CSBBANK,,,4369.2,,,,,,,,,,,,,,,,,,364.1,371.6,382.1,362.3,356.85,12,-2.02,2.03,410.95,4931,-561,-11.38,4282.2,87.0,,,,0.09,1.09,3.92
CYBELEIND,BSE,136056836,INE183D01010,CNC,0.0,202,0.0,0.0,202.0,202.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 202}},202.0,0.0,0.0,,False,46.46,38.38,39.98,-1632,-1.5999999999999943,-4.002001000500236,holdings,BSE:CYBELEIND,,,7752.76,,,,,,,,,,,,,,,,,,38.38,39.98,41.3,38.38,39.98,202,-4.0,-4.0,46.463118,9386,-1633,-17.4,8075.96,-323.2,,,,0.0,1.0,3.71
DCBBANK,BSE,136389636,INE503A01015,CNC,0.0,35,0.0,0.0,35.0,35.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 35}},35.0,0.0,0.0,,False,140.95,137.5,140.15,-120,-2.6500000000000057,-1.8908312522297577,holdings,BSE:DCBBANK,,,4812.5,,,,,,,,,,,,,,,,,,137.5,140.25,141.0,136.2,140.15,35,-1.96,-1.89,140.95,4933,-120,-2.43,4905.25,-92.75,,,,0.27,1.31,4.55
DCM,NSE,206081,INE498A01018,CNC,0.0,91,0.0,0.0,91.0,91.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 91}},91.0,0.0,0.0,,False,90.02,77.86,76.94,-1106,0.9200000000000017,1.19573693787367,holdings,NSE:DCM,,,7085.26,,,,,,,,,,,,,,,,,,77.86,77.31,80.5,77.01,76.94,91,0.71,1.2,90.01978,8192,-1106,-13.5,7001.54,83.72,,,,0.25,1.28,4.46
DHAMPURSUG,BSE,128030468,INE041A01016,CNC,0.0,37,0.0,0.0,37.0,37.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 37}},37.0,0.0,0.0,,False,263.75,224.8,227.35,-1441,-2.549999999999983,-1.1216186496591083,holdings,BSE:DHAMPURSUG,,,8317.6,,,,,,,,,,,,,,,,,,224.8,229.95,229.95,221.0,227.35,37,-2.24,-1.12,263.75,9759,-1441,-14.77,8411.95,-94.35,,,,0.42,1.52,5.28
EASEMYTRIP,BSE,139077636,INE07O001026,CNC,0.0,107,0.0,0.0,107.0,107.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 107}},107.0,0.0,0.0,,False,46.95,41.23,41.73,-612,-0.5,-1.1981787682722262,holdings,BSE:EASEMYTRIP,,,4411.61,,,,,,,,,,,,,,,,,,41.23,41.73,41.92,40.92,41.73,107,-1.2,-1.2,46.95,5024,-612,-12.18,4465.11,-53.5,,,,0.31,1.36,4.72
ECLERX,BSE,136429316,INE738I01010,CNC,0.0,2,0.0,0.0,2.0,2.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 2}},2.0,0.0,0.0,,False,2448.35,2397.0,2412.25,-102,-15.25,-0.6321898642346357,holdings,BSE:ECLERX,,,4794.0,,,,,,,,,,,,,,,,,,2397.0,2424.25,2428.05,2384.45,2412.25,2,-1.12,-0.63,2448.35,4897,-103,-2.1,4824.5,-30.5,,,,0.29,1.34,4.65
EIHOTEL,BSE,128215044,INE230A01023,CNC,0.0,10,0.0,0.0,10.0,10.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 10}},10.0,0.0,0.0,,False,494.3,431.05,439.25,-632,-8.199999999999989,-1.8668184405236172,holdings,BSE:EIHOTEL,,,4310.5,,,,,,,,,,,,,,,,,,431.05,442.0,442.0,425.9,439.25,10,-2.48,-1.87,494.3,4943,-632,-12.79,4392.5,-82.0,,,,0.32,1.38,4.77
FCL,NSE,1586689,INE045J01026,CNC,0.0,12,0.0,0.0,12.0,12.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 12}},12.0,0.0,0.0,,False,398.45,386.55,393.1,-142,-6.550000000000011,-1.6662426863393567,holdings,NSE:FCL,,,4638.6,,,,,,,,,,,,,,,,,,386.55,394.2,395.0,380.7,393.1,12,-1.94,-1.67,398.45,4781,-142,-2.97,4717.2,-78.6,,,,0.41,1.51,5.25
FLUOROCHEM,NSE,3520001,INE09N301011,CNC,0.0,1,0.0,0.0,1.0,1.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 1}},1.0,0.0,0.0,,False,3702.4,3223.5,3320.1,-478,-96.59999999999991,-2.9095509171410474,holdings,NSE:FLUOROCHEM,,,3223.5,,,,,,,,,,,,,,,,,,3223.5,3320.1,3336.7,3189.05,3320.1,1,-2.91,-2.91,3702.4,3702,-478,-12.91,3320.1,-96.6,,,,0.23,1.26,4.4
FRSHTRP,BSE,135699716,INE795D01011,CNC,0.0,76,0.0,0.0,76.0,76.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 76}},76.0,0.0,0.0,,False,166.13,132.9,139.45,-2525,-6.549999999999983,-4.697024022947281,holdings,BSE:FRSHTRP,,,10100.4,,,,,,,,,,,,,,,,,,132.9,139.95,142.0,130.15,139.45,76,-5.04,-4.7,166.133552,12626,-2525,-20.0,10598.2,-497.8,,,,0.23,1.26,4.4
GNFC,NSE,300545,INE113A01013,CNC,0.0,13,0.0,0.0,13.0,13.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 13}},13.0,0.0,0.0,,False,783.2,672.3,694.35,-1441,-22.050000000000068,-3.1756318859364976,holdings,NSE:GNFC,,,8739.9,,,,,,,,,,,,,,,,,,672.3,695.45,698.2,660.05,694.35,13,-3.33,-3.18,783.203846,10182,-1442,-14.16,9026.55,-286.65,,,,0.32,1.38,4.77
GOLDIAM,NSE,3064577,INE025B01025,CNC,0.0,52,0.0,0.0,52.0,52.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 52}},52.0,0.0,0.0,,False,191.8,161.8,164.9,-1560,-3.0999999999999943,-1.8799272286234046,holdings,NSE:GOLDIAM,,,8413.6,,,,,,,,,,,,,,,,,,161.8,165.2,165.8,161.0,164.9,52,-2.06,-1.88,191.8,9974,-1560,-15.64,8574.8,-161.2,,,,0.17,1.19,4.2
GPPL,NSE,5051137,INE517F01014,CNC,0.0,23,0.0,0.0,23.0,23.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 23}},23.0,0.0,0.0,,False,215.75,208.42,208.87,-168,-0.45000000000001705,-0.21544501364485902,holdings,NSE:GPPL,,,4793.66,,,,,,,,,,,,,,,,,,208.42,208.85,211.68,204.37,208.87,23,-0.21,-0.22,215.75,4962,-168,-3.39,4804.01,-10.35,,,,0.55,1.73,6.19
GRAPHITE,NSE,151553,INE371A01025,CNC,0.0,7,0.0,0.0,7.0,7.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 7}},7.0,0.0,0.0,,False,698.01,568.05,578.05,-909,-10.0,-1.7299541562148604,holdings,NSE:GRAPHITE,,,3976.35,,,,,,,,,,,,,,,,,,568.05,580.0,581.0,564.65,578.05,7,-2.06,-1.73,698.007142,4886,-909,-18.6,4046.35,-70.0,,,,0.21,1.23,4.31
HEG,NSE,342017,INE545A01016,CNC,0.0,2,0.0,0.0,2.0,2.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 2}},2.0,0.0,0.0,,False,2418.8,2146.55,2206.1,-544,-59.54999999999973,-2.6993336657449674,holdings,NSE:HEG,,,4293.1,,,,,,,,,,,,,,,,,,2146.55,2206.1,2208.95,2137.05,2206.1,2,-2.7,-2.7,2418.8,4838,-544,-11.24,4412.2,-119.1,,,,0.13,1.14,4.06
HINDOILEXP,BSE,128047620,INE345A01011,CNC,0.0,24,0.0,0.0,24.0,24.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 24}},24.0,0.0,0.0,,False,207.65,198.5,206.4,-219,-7.900000000000006,-3.827519379844964,holdings,BSE:HINDOILEXP,,,4764.0,,,,,,,,,,,,,,,,,,198.5,203.0,207.75,195.7,206.4,24,-2.22,-3.83,207.65,4984,-220,-4.41,4953.6,-189.6,,,,0.23,1.26,4.4
HOVS-BE,NSE,3480321,INE596H01014,CNC,0.0,148,0.0,0.0,148.0,148.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 148}},148.0,0.0,0.0,,False,73.79,65.22,64.76,-1268,0.45999999999999375,0.7103150092649686,holdings,NSE:HOVS-BE,,,9652.56,,,,,,,,,,,,,,,,,,65.22,64.76,66.89,64.76,64.76,148,0.71,0.71,73.789459,10921,-1268,-11.61,9584.48,68.08,,,,0.22,1.25,4.37
LIQUIDIETF,BSE,138738180,INF109KC1KT9,CNC,0.0,10,0.0,0.0,10.0,10.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 10}},10.0,0.0,0.0,,False,1000.0,1000.0,1000.0,0,0.0,0.0,holdings,BSE:LIQUIDIETF,,,10000.0,,,,,,,,,,,,,,,,,,1000.0,999.99,1000.01,999.78,1000.0,10,0.0,0.0,1000.0,10000,0,0.0,10000.0,0.0,,,,0.92,2.51,11.86
INDOCO,BSE,136348676,INE873D01024,CNC,0.0,28,0.0,0.0,28.0,28.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 28}},28.0,0.0,0.0,,False,350.0,323.3,326.55,-747,-3.25,-0.9952534068289696,holdings,BSE:INDOCO,,,9052.4,,,,,,,,,,,,,,,,,,323.3,330.0,330.0,321.15,326.55,28,-2.03,-1.0,350.0,9800,-747,-7.62,9143.4,-91.0,,,,0.24,1.27,4.43
INDORAMA,BSE,128052996,INE156A01020,CNC,0.0,406,0.0,0.0,406.0,406.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 406}},406.0,0.0,0.0,,False,51.19,44.93,45.58,-2540,-0.6499999999999986,-1.4260640631856047,holdings,BSE:INDORAMA,,,18241.58,,,,,,,,,,,,,,,,,,44.93,45.0,45.8,44.15,45.58,406,-0.16,-1.43,51.188596,20783,-2541,-12.23,18505.48,-263.9,,,,0.47,1.6,5.61
INDRAMEDCO,NSE,1216257,INE681B01017,CNC,0.0,18,0.0,0.0,18.0,18.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 18}},18.0,0.0,0.0,,False,270.4,238.17,242.87,-580,-4.700000000000017,-1.9351916663235547,holdings,NSE:INDRAMEDCO,,,4287.06,,,,,,,,,,,,,,,,,,238.17,242.3,248.94,236.0,242.87,18,-1.7,-1.94,270.4,4867,-579,-11.9,4371.66,-84.6,,,,0.17,1.19,4.2
INDUSINDBK,NSE,1346049,INE095A01012,CNC,0.0,6,0.0,0.0,6.0,6.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 6}},6.0,0.0,0.0,,False,1560.8,1502.75,1497.9,-348,4.849999999999909,0.3237866346217978,holdings,NSE:INDUSINDBK,,,9016.5,,,,,,,,,,,,,,,,,,1502.75,1494.0,1504.95,1485.0,1497.9,6,0.59,0.32,1560.8,9365,-348,-3.72,8987.4,29.1,,,,0.89,2.44,11.15
INDUSTOWER,BSE,136912900,INE121J01017,CNC,0.0,0,14.0,0.0,0.0,14.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 14}},14.0,0.0,0.0,,False,354.8,365.65,356.15,0,9.5,2.6674154148532923,holdings,BSE:INDUSTOWER,,,0.0,,,,,,,,,,,,,,,,,,365.65,362.7,369.15,351.5,356.15,0,0.81,2.67,354.8,0,0,,0.0,0.0,,,,0.8,2.23,9.3
INTSTOIL,BSE,135746308,INE003B01014,CNC,0.0,311,0.0,0.0,311.0,311.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 311}},311.0,0.0,0.0,,False,48.1,38.87,38.18,-2869,0.6899999999999977,1.8072289156626447,holdings,BSE:INTSTOIL,,,12088.57,,,,,,,,,,,,,,,,,,38.87,38.05,38.88,37.11,38.18,311,2.16,1.81,48.096366,14958,-2869,-19.18,11873.98,214.59,,,,0.99,2.69,13.92
JAYBARMARU,BSE,133136900,INE571B01036,CNC,0.0,40,0.0,0.0,40.0,40.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 40}},40.0,0.0,0.0,,False,123.05,109.45,107.25,-543,2.200000000000003,2.051282051282054,holdings,BSE:JAYBARMARU,,,4378.0,,,,,,,,,,,,,,,,,,109.45,109.9,112.0,106.5,107.25,40,-0.41,2.05,123.05,4922,-544,-11.05,4290.0,88.0,,,,0.54,1.72,6.14
JETAIRWAYS-BZ,NSE,3435521,INE802G01018,CNC,0.0,254,0.0,0.0,254.0,254.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 254}},254.0,0.0,0.0,,False,54.65,42.75,42.89,-3022,-0.14000000000000057,-0.326416414082538,holdings,NSE:JETAIRWAYS-BZ,,,10858.5,,,,,,,,,,,,,,,,,,42.75,42.78,43.7,42.61,42.89,254,-0.07,-0.33,54.649921,13881,-3022,-21.77,10894.06,-35.56,,,,0.14,1.15,4.09
JINDRILL,BSE,130824708,INE742C01031,CNC,0.0,6,0.0,0.0,6.0,6.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 6}},6.0,0.0,0.0,,False,792.75,641.2,622.95,-909,18.25,2.929609117906734,holdings,BSE:JINDRILL,,,3847.2,,,,,,,,,,,,,,,,,,641.2,620.0,654.45,620.0,622.95,6,3.42,2.93,792.75,4756,-908,-19.09,3737.7,109.5,,,,0.62,1.86,6.86
JKTYRE,BSE,135681796,INE573A01042,CNC,0.0,30,0.0,0.0,30.0,30.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 30}},30.0,0.0,0.0,,False,483.04,394.5,397.15,-2656,-2.6499999999999773,-0.6672541860757844,holdings,BSE:JKTYRE,,,11835.0,,,,,,,,,,,,,,,,,,394.5,403.0,404.0,393.0,397.15,30,-2.11,-0.67,483.036666,14491,-2656,-18.33,11914.5,-79.5,,,,0.14,1.15,4.09
JUBLINGREA,NSE,712449,INE0BY001018,CNC,0.0,9,0.0,0.0,9.0,9.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 9}},9.0,0.0,0.0,,False,554.44,516.8,534.95,-338,-18.15000000000009,-3.392840452378744,holdings,NSE:JUBLINGREA,,,4651.2,,,,,,,,,,,,,,,,,,516.8,538.65,538.65,515.35,534.95,9,-4.06,-3.39,554.438888,4990,-338,-6.77,4814.55,-163.35,,,,0.06,1.06,3.86
KAIRA,BSE,129239044,INE375D01012,CNC,0.0,2,0.0,0.0,2.0,2.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 2}},2.0,0.0,0.0,,False,2372.5,1929.95,1927.65,-885,2.2999999999999545,0.11931626591964073,holdings,BSE:KAIRA,,,3859.9,,,,,,,,,,,,,,,,,,1929.95,1941.95,1941.95,1901.0,1927.65,2,-0.62,0.12,2372.5,4745,-885,-18.65,3855.3,4.6,,,,0.71,2.03,7.87
KOPRAN,BSE,134215684,INE082A01010,CNC,0.0,35,0.0,0.0,35.0,35.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 35}},35.0,0.0,0.0,,False,278.55,252.5,258.55,-911,-6.050000000000011,-2.3399729259330924,holdings,BSE:KOPRAN,,,8837.5,,,,,,,,,,,,,,,,,,252.5,259.4,260.15,251.45,258.55,35,-2.66,-2.34,278.55,9749,-911,-9.34,9049.25,-211.75,,,,0.12,1.13,4.04
KTKBANK,NSE,2061825,INE614B01018,CNC,0.0,22,0.0,0.0,22.0,22.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 22}},22.0,0.0,0.0,,False,233.1,223.41,224.87,-213,-1.460000000000008,-0.6492640192111033,holdings,NSE:KTKBANK,,,4915.02,,,,,,,,,,,,,,,,,,223.41,224.8,225.92,222.0,224.87,22,-0.62,-0.65,233.1,5128,-212,-4.13,4947.14,-32.12,,,,0.36,1.43,4.95
LIQUIDETF,BSE,138520836,INF740KA1EU7,CNC,0.0,10,0.0,0.0,10.0,10.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 10}},10.0,0.0,0.0,,False,1000.01,1000.01,1000.0,0,0.009999999999990905,0.0009999999999990906,holdings,BSE:LIQUIDETF,,,10000.1,,,,,,,,,,,,,,,,,,1000.01,1000.0,1000.01,999.99,1000.0,10,0.0,0.0,1000.01,10000,0,0.0,10000.0,0.1,,,,0.75,2.12,8.48
LUPIN,BSE,128065796,INE326A01037,CNC,0.0,3,0.0,0.0,3.0,3.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 3}},3.0,0.0,0.0,,False,1658.0,1584.3,1584.45,-221,-0.15000000000009095,-0.009467007478941648,holdings,BSE:LUPIN,,,4752.9,,,,,,,,,,,,,,,,,,1584.3,1587.2,1601.6,1571.65,1584.45,3,-0.18,-0.01,1658.0,4974,-221,-4.44,4753.35,-0.45,,,,0.42,1.52,5.28
MARBLE,BSE,136007940,INE807H01023,CNC,0.0,813,0.0,0.0,813.0,813.0,2024-06-27 17:00:00,{'pre': {'2024-06-27 17:00:00': 813}},813.0,0.0,0.0,,False,18.76,14.0,13.96,-3868,0.03999999999999915,0.28653295128939216,holdings,BSE:MARBLE,,,11382.0,,,,,,,,,,,,,,,,,,14.0,14.59,14.59,13.5,13.96,813,-4.04,0.29,18.758216,15250,-3868,-25.36,11349.48,32.52,,,,0.46,1.58,5.52
